population,calibration,comparison,difference,relative_reduction,block_days,low95,high95,family4_low,family4_high,primary
outer,raw,D_minus_A_G_onset,-0.001574034107887308,0.11158218187745908,1,-0.0022015106592689227,-0.0009736446535929409,,,False
outer,raw,M_minus_A_G_onset,-0.0009336395809114628,0.06618505977935012,3,-0.0013408293835328964,-0.0005134307792680923,,,False
outer,raw,M_minus_A_G_onset,-0.0009336395809114628,0.06618505977935012,1,-0.0013220850341369255,-0.0005780192471918385,,,False
outer,raw,S_minus_A_G_onset,-0.0010227116260015862,0.07249931503318541,3,-0.0014209407106398138,-0.0005651944589773255,,,False
outer,raw,S_minus_A_G_onset,-0.0010227116260015862,0.07249931503318541,1,-0.0014133033436876912,-0.0006490129138298604,,,False
outer,raw,E_minus_A_G_onset,-0.001824036580746757,0.12930468309686388,3,-0.0025237077195953863,-0.000902610192737408,,,False
outer,raw,E_minus_A_G_onset,-0.001824036580746757,0.12930468309686388,1,-0.0025937883026997777,-0.0010903981671908432,,,False
outer,raw,F_minus_A_G_onset,-0.0019625002736861482,0.13912027787436532,3,-0.0026691202282301154,-0.001021132406999229,,,False
outer,raw,F_minus_A_G_onset,-0.0019625002736861482,0.13912027787436532,1,-0.0027667807915089685,-0.001194705087481308,,,False
outer,raw,E_internal_minus_A_G_onset,-0.0013532150056913158,0.09592846948343611,3,-0.0018406301150502404,-0.000721044269848521,,,False
outer,raw,E_internal_minus_A_G_onset,-0.0013532150056913158,0.09592846948343611,1,-0.001898460533692314,-0.0008388945663379423,,,False
outer,raw,D_rewire_20261004_minus_A_G_onset,-0.001581909612232199,0.11214047089660101,3,-0.0021637536685723104,-0.0008488222406676299,,,False
outer,raw,D_rewire_20261004_minus_A_G_onset,-0.001581909612232199,0.11214047089660101,1,-0.002193644762978432,-0.0009980881723390968,,,False
outer,raw,D_rewire_20261005_minus_A_G_onset,-0.0013250583212595444,0.0939324617301168,3,-0.0018295049952103514,-0.0007216244463493403,,,False
outer,raw,D_rewire_20261005_minus_A_G_onset,-0.0013250583212595444,0.0939324617301168,1,-0.0018451989229634575,-0.0008337307845023824,,,False
outer,raw,E_self_minus_A_G_onset,-0.0009896518803020257,0.07015573268068978,3,-0.00142695047428323,-0.0005388433195670469,,,False
outer,raw,E_self_minus_A_G_onset,-0.0009896518803020257,0.07015573268068978,1,-0.0014221413764047913,-0.0006018916323178064,,,False
outer,raw,E_rewire_20261004_minus_A_G_onset,-0.0018509976587162019,0.131215935140593,3,-0.002540774838835361,-0.0009368669700868797,,,False
outer,raw,E_rewire_20261004_minus_A_G_onset,-0.0018509976587162019,0.131215935140593,1,-0.0026177790788246527,-0.0011060330843164895,,,False
outer,raw,E_rewire_20261005_minus_A_G_onset,-0.0012229969684655973,0.08669740349786592,3,-0.00166205813303199,-0.0006746977084954967,,,False
outer,raw,E_rewire_20261005_minus_A_G_onset,-0.0012229969684655973,0.08669740349786592,1,-0.0017114118034103026,-0.0007649239999225167,,,False
outer,raw,C_minus_B_all_time,9.209856353282942e-05,-0.005404204977388143,3,-6.14229607619149e-05,0.00022861186670165598,,,False
outer,raw,C_minus_B_all_time,9.209856353282942e-05,-0.005404204977388143,1,-4.028468395730058e-05,0.00022420093042315503,,,False
outer,raw,D_minus_C_all_time,0.0002687249097693305,-0.015683615444545763,3,6.695753166235598e-05,0.00039138414652548277,,,False
outer,raw,D_minus_C_all_time,0.0002687249097693305,-0.015683615444545763,1,0.00011061213648351094,0.00044080038665753935,,,False
outer,raw,E_minus_D_all_time,2.692461700401346e-05,-0.001547139046493961,3,-8.451582115218074e-05,0.00017646695167585543,,,False
outer,raw,E_minus_D_all_time,2.692461700401346e-05,-0.001547139046493961,1,-0.00013514040728204377,0.00019062297356817366,,,False
outer,raw,E_minus_B_all_time,0.00038774809030617344,-0.02275247386305237,3,0.0001847464782042916,0.000539988483503773,,,False
outer,raw,E_minus_B_all_time,0.00038774809030617344,-0.02275247386305237,1,0.00021721803930751122,0.0005672818619714059,,,False
outer,raw,R_union_minus_A_G_all_time,-0.002568397730069199,0.13791441540024052,3,-0.0036302473121068053,-0.0013998490255497818,,,False
outer,raw,R_union_minus_A_G_all_time,-0.002568397730069199,0.13791441540024052,1,-0.003810671966548997,-0.0012987294911738112,,,False
outer,raw,A_mono_minus_A_G_all_time,-0.0006974288931409862,0.03744961185516406,3,-0.0012713527762864454,-0.0002850539551309008,,,False
outer,raw,A_mono_minus_A_G_all_time,-0.0006974288931409862,0.03744961185516406,1,-0.0011507541255522066,-0.00027368223749391703,,,False
outer,raw,B_minus_A_G_all_time,-0.0015811084816453826,0.08490026656603915,3,-0.002330755049089673,-0.0007013296302343939,,,False
outer,raw,B_minus_A_G_all_time,-0.0015811084816453826,0.08490026656603915,1,-0.00238726091414451,-0.0008136287046607763,,,False
outer,raw,K_minus_A_G_all_time,-0.000780338050990105,0.0419015578689068,3,-0.0013325897690115629,-0.0002191687546227601,,,False
outer,raw,K_minus_A_G_all_time,-0.000780338050990105,0.0419015578689068,1,-0.0013326966893794203,-0.0002610591719709049,,,False
outer,raw,C_minus_A_G_all_time,-0.0014890099181125533,0.07995488003180877,3,-0.0021286094373485086,-0.0007206772990324307,,,False
outer,raw,C_minus_A_G_all_time,-0.0014890099181125533,0.07995488003180877,1,-0.002192772078305787,-0.0008260203818515474,,,False
outer,raw,D_minus_A_G_all_time,-0.0012202850083432228,0.06552524617859669,3,-0.0019128262873854824,-0.0004975497378060986,,,False
outer,raw,D_minus_A_G_all_time,-0.0012202850083432228,0.06552524617859669,1,-0.0018824775245369456,-0.0005889050473127013,,,False
outer,raw,M_minus_A_G_all_time,-0.0008094881692368112,0.04346682226303709,3,-0.0013959988736074159,-0.0002996450689053892,,,False
outer,raw,M_minus_A_G_all_time,-0.0008094881692368112,0.04346682226303709,1,-0.0012819502912574598,-0.000368709408952022,,,False
outer,raw,S_minus_A_G_all_time,-0.0009542193035820375,0.05123840278958496,3,-0.0014971020838331472,-0.00043919090780655324,,,False
outer,raw,S_minus_A_G_all_time,-0.0009542193035820375,0.05123840278958496,1,-0.0014104117711979053,-0.0005271186633593031,,,False
outer,raw,E_minus_A_G_all_time,-0.0011933603913392094,0.06407948379899676,3,-0.0019398506350419484,-0.0003750126579013402,,,False
outer,raw,E_minus_A_G_all_time,-0.0011933603913392094,0.06407948379899676,1,-0.0019636834103857245,-0.0004407853413074995,,,False
outer,raw,F_minus_A_G_all_time,-0.0016208073741839906,0.08703196505354387,3,-0.0023657224989997823,-0.0007631870096836566,,,False
outer,raw,F_minus_A_G_all_time,-0.0016208073741839906,0.08703196505354387,1,-0.002419158232103638,-0.000884443124999701,,,False
outer,raw,E_internal_minus_A_G_all_time,-0.001121418245696908,0.06021642986356534,3,-0.0017312462479718953,-0.00046847552346341155,,,False
outer,raw,E_internal_minus_A_G_all_time,-0.001121418245696908,0.06021642986356534,1,-0.0017013490156439126,-0.000559594232811997,,,False
outer,raw,D_rewire_20261004_minus_A_G_all_time,-0.0012139158357872624,0.06518324279673929,3,-0.0019112865172377013,-0.0004935029110013018,,,False
outer,raw,D_rewire_20261004_minus_A_G_all_time,-0.0012139158357872624,0.06518324279673929,1,-0.0018591268270749719,-0.0005936097943474739,,,False
outer,raw,D_rewire_20261005_minus_A_G_all_time,-0.0011328536965554542,0.06083047553940858,3,-0.0017671786929234871,-0.0005102853080112891,,,False
outer,raw,D_rewire_20261005_minus_A_G_all_time,-0.0011328536965554542,0.06083047553940858,1,-0.001701625969090832,-0.0005898834008564439,,,False
outer,raw,E_self_minus_A_G_all_time,-0.0008009530448422599,0.04300851447158332,3,-0.0013875466640920328,-0.0002644774946498248,,,False
outer,raw,E_self_minus_A_G_all_time,-0.0008009530448422599,0.04300851447158332,1,-0.0013162482785868488,-0.00032949388385798294,,,False
outer,raw,E_rewire_20261004_minus_A_G_all_time,-0.0014037949419985441,0.07537911924658475,3,-0.002129476846651956,-0.0005908203335203315,,,False
outer,raw,E_rewire_20261004_minus_A_G_all_time,-0.0014037949419985441,0.07537911924658475,1,-0.00216717911286869,-0.0006741293063824757,,,False
outer,raw,E_rewire_20261005_minus_A_G_all_time,-0.0009445706627500476,0.05072030286908903,3,-0.0015383648868392435,-0.000335887921923963,,,False
outer,raw,E_rewire_20261005_minus_A_G_all_time,-0.0009445706627500476,0.05072030286908903,1,-0.0015052757021257334,-0.00040300061568516825,,,False
outer,calibrated,C_minus_B_onset,0.0001492340487299542,-0.011760427094250615,3,4.436022959783915e-05,0.00022155305134552084,,,False
outer,calibrated,C_minus_B_onset,0.0001492340487299542,-0.011760427094250615,1,6.538731534729033e-05,0.0002403421157623634,,,False
