split,origin,model,step,mae_raw
inner_diagnosis,21748,location_repair,3,1.6329737209601007
inner_diagnosis,21748,location_repair,6,2.1818689418756785
inner_diagnosis,21808,original,3,3.838035434689106
inner_diagnosis,21808,original,6,5.362964769634082
inner_diagnosis,21808,location_repair,3,3.658567955485831
inner_diagnosis,21808,location_repair,6,5.326507793009371
inner_diagnosis,21868,original,3,0.967251813099827
inner_diagnosis,21868,original,6,1.0866954039235268
inner_diagnosis,21868,location_repair,3,0.9630927689047329
inner_diagnosis,21868,location_repair,6,1.0770269502761889
inner_diagnosis,21928,original,3,1.0199085773019443
inner_diagnosis,21928,original,6,1.1426233716301568
inner_diagnosis,21928,location_repair,3,1.0199084904498166
inner_diagnosis,21928,location_repair,6,1.142622370078647
inner_diagnosis,21988,original,3,1.2026732965012228
inner_diagnosis,21988,original,6,1.3586595736929723
inner_diagnosis,21988,location_repair,3,1.1971084495523305
inner_diagnosis,21988,location_repair,6,1.3482954582008146
inner_diagnosis,22048,original,3,1.8495248777675624
inner_diagnosis,22048,original,6,2.144463763913661
inner_diagnosis,22048,location_repair,3,1.8340001215225863
inner_diagnosis,22048,location_repair,6,2.1282185131079823
inner_diagnosis,22108,original,3,1.2229454219173035
inner_diagnosis,22108,original,6,1.6399145228426004
inner_diagnosis,22108,location_repair,3,1.2468999851771156
inner_diagnosis,22108,location_repair,6,1.6715734374973998
inner_diagnosis,22168,original,3,0.816368835147074
inner_diagnosis,22168,original,6,0.8531742656094374
inner_diagnosis,22168,location_repair,3,0.8163686951587694
inner_diagnosis,22168,location_repair,6,0.8531736773897833
inner_diagnosis,22228,original,3,1.077898164118171
inner_diagnosis,22228,original,6,1.0954157087041463
inner_diagnosis,22228,location_repair,3,1.077898251801883
inner_diagnosis,22228,location_repair,6,1.0954146750172364
inner_diagnosis,22300,original,3,1.2418631398152233
inner_diagnosis,22300,original,6,1.4971942524027309
inner_diagnosis,22300,location_repair,3,1.2211033062725953
inner_diagnosis,22300,location_repair,6,1.46799661774821
inner_diagnosis,22360,original,3,1.6214968946459354
inner_diagnosis,22360,original,6,2.3323461954209073
inner_diagnosis,22360,location_repair,3,1.5967516238937474
inner_diagnosis,22360,location_repair,6,2.2933529736985494
inner_diagnosis,22420,original,3,0.9769805891939084
inner_diagnosis,22420,original,6,1.1676568959346538
inner_diagnosis,22420,location_repair,3,0.9792279236291802
inner_diagnosis,22420,location_repair,6,1.1694038667190003
inner_diagnosis,22480,original,3,0.9622149094833238
inner_diagnosis,22480,original,6,1.053066464551019
inner_diagnosis,22480,location_repair,3,0.957327764911594
inner_diagnosis,22480,location_repair,6,1.030905965774398
inner_diagnosis,22540,original,3,3.7290780380613517
inner_diagnosis,22540,original,6,5.375870191992939
inner_diagnosis,22540,location_repair,3,3.508039732071922
inner_diagnosis,22540,location_repair,6,5.105968202554568
inner_diagnosis,22600,original,3,1.4741420951170119
inner_diagnosis,22600,original,6,1.8195241021297208
inner_diagnosis,22600,location_repair,3,1.4111775590450661
inner_diagnosis,22600,location_repair,6,1.7193270997233399
inner_diagnosis,22660,original,3,4.7664874566216495
inner_diagnosis,22660,original,6,6.506270478487307
inner_diagnosis,22660,location_repair,3,3.9113967155272853
inner_diagnosis,22660,location_repair,6,5.468118119992845
inner_diagnosis,22720,original,3,1.3006766708408595
inner_diagnosis,22720,original,6,1.3919164608273502
inner_diagnosis,22720,location_repair,3,1.3053366613896196
inner_diagnosis,22720,location_repair,6,1.3916007911371624
inner_diagnosis,22780,original,3,1.1202279032116125
inner_diagnosis,22780,original,6,1.25018023008759
inner_diagnosis,22780,location_repair,3,1.104995456338836
inner_diagnosis,22780,location_repair,6,1.1978211725752428
inner_diagnosis,22840,original,3,5.693878357660007
inner_diagnosis,22840,original,6,8.464680280828121
inner_diagnosis,22840,location_repair,3,4.6281936878615575
inner_diagnosis,22840,location_repair,6,7.0663721535224875
inner_diagnosis,22900,original,3,1.7227393678907923
inner_diagnosis,22900,original,6,2.0682492778469603
inner_diagnosis,22900,location_repair,3,1.6653669274671925
inner_diagnosis,22900,location_repair,6,2.007005509331615
