origin,repeat,model,N,total_seconds,preparation_seconds,probability,mc_lower,mc_upper
38961,2,location_repair,256,0.023786677003954537,0.013088010004139505,0.87890625,0.8325382167908462,0.9162203853225371
39611,2,original,256,0.01813354199839523,0.011451391997979954,0.0,0.0,0.014306362729039375
39611,2,location_repair,256,0.025180593998811673,0.01593235300242668,0.0,0.0,0.014306362729039375
40342,2,original,256,0.01946918600151548,0.010742842001491226,0.0,0.0,0.014306362729039375
40342,2,location_repair,256,0.02319200700003421,0.013347410000278614,0.0,0.0,0.014306362729039375
40992,2,original,256,0.021004996000556275,0.011377433998859487,0.5390625,0.47589910459977025,0.601311049375117
40992,2,location_repair,256,0.020974582999770064,0.013846630004991312,0.94140625,0.9051991415444257,0.9668381679733287
41723,2,original,256,0.017014293000102043,0.010730047004471999,0.0,0.0,0.014306362729039375
41723,2,location_repair,256,0.02072519499779446,0.014074397993681487,0.0,0.0,0.014306362729039375
31409,3,location_repair,256,0.07596693799860077,0.06579426400276134,0.0,0.0,0.014306362729039375
31409,3,original,256,0.07983265599614242,0.0701244419979048,0.0,0.0,0.014306362729039375
32058,3,location_repair,256,0.029175264004152268,0.02065008100180421,0.0,0.0,0.014306362729039375
32058,3,original,256,0.026967628000420518,0.016692723002051935,0.0,0.0,0.014306362729039375
32708,3,location_repair,256,0.021868842995900195,0.014147499001410324,0.0,0.0,0.014306362729039375
32708,3,original,256,0.01872505799838109,0.011611244997766335,0.0,0.0,0.014306362729039375
33439,3,location_repair,256,0.025374165998073295,0.015244951995555311,0.0,0.0,0.014306362729039375
33439,3,original,256,0.02274761800072156,0.01359237600263441,0.0,0.0,0.014306362729039375
34089,3,location_repair,256,0.023706099993432872,0.014664564994745888,0.00390625,9.889279722355371e-05,0.021570890352533498
34089,3,original,256,0.024595349001174327,0.014505972998449579,0.00390625,9.889279722355371e-05,0.021570890352533498
34819,3,location_repair,256,0.020914241998980287,0.012871113998699002,0.0,0.0,0.014306362729039375
34819,3,original,256,0.02351166399603244,0.013624285995319951,0.0,0.0,0.014306362729039375
35469,3,location_repair,256,0.02135143400664674,0.01391610400605714,0.0,0.0,0.014306362729039375
35469,3,original,256,0.02476879599998938,0.013280589002533816,0.0,0.0,0.014306362729039375
36200,3,location_repair,256,0.023998873999516945,0.01391455800330732,0.0,0.0,0.014306362729039375
36200,3,original,256,0.020958232998964377,0.01337053399765864,0.0,0.0,0.014306362729039375
36850,3,location_repair,256,0.02169133000279544,0.014128688999335282,0.0,0.0,0.014306362729039375
36850,3,original,256,0.019941621998441406,0.011263401000178419,0.0,0.0,0.014306362729039375
37581,3,location_repair,256,0.022740134998457506,0.013253115997940768,0.0,0.0,0.014306362729039375
37581,3,original,256,0.017072691000066698,0.01095376299781492,0.0,0.0,0.014306362729039375
38230,3,location_repair,256,0.02037160900363233,0.012830783001845703,0.0,0.0,0.014306362729039375
38230,3,original,256,0.018056660999718588,0.011112628999399021,0.0,0.0,0.014306362729039375
38961,3,location_repair,256,0.021344561006117146,0.014186881002387963,0.87890625,0.8325382167908462,0.9162203853225371
38961,3,original,256,0.02048216899856925,0.012442079998436384,0.66796875,0.6066303247832971,0.725364391784965
39611,3,location_repair,256,0.02516197899967665,0.014449255002546124,0.0,0.0,0.014306362729039375
39611,3,original,256,0.018795530995703302,0.010732277994975448,0.0,0.0,0.014306362729039375
40342,3,location_repair,256,0.021161914999538567,0.014243067002098542,0.0,0.0,0.014306362729039375
40342,3,original,256,0.019038344995351508,0.011277806996076833,0.0,0.0,0.014306362729039375
40992,3,location_repair,256,0.022345035002217628,0.013215994003985543,0.94140625,0.9051991415444257,0.9668381679733287
